latitude,longitude,source-typ,ems-type,source_cat,eis facili,Grouping,Centroid_X,Cent_Y
37.86982,-122.30178,AsphaltPlant,high,Hot-Mix-Asphalt-Plant,808611,0,37.86982,-122.30178
37.86589,-122.30037,Eateries,high,Breweries-Distilleries-Wineries,375111,0,37.86589,-122.30037
37.82562,-122.29663,WWTP,high,Wastewater-Treatment-Facility,379511,0,37.82562,-122.29663
37.78748,-122.29202,Misc,high,Crematory-Human,13985611,0,37.78748,-122.29202
37.85638,-122.29149,AutoRepair,high,Auto-Body-Painting-or-Repair-Shop,195711,0,37.85638,-122.29149
37.825995,-122.289321,Retail-Res,high,Institution,13761011,0,37.825995,-122.289321
37.7991,-122.283139,Misc,high,DataCenter,15974511,0,37.7991,-122.283139
37.79355,-122.26824,FoodPlant,high,Food-Products-Processing-Plant,808811,0,37.79355,-122.26824
37.83569,-122.26765,Retail-Res,high,Institution,10460511,0,37.83569,-122.26765
37.87243,-122.26658,Retail-Res,high,Institution,10517111,0,37.87243,-122.26658
37.86992,-122.2588,EGen,high,Electricity-Generation-via-Combustion,10707511,0,37.86992,-122.2588
37.85367,-122.25707,Retail-Res,high,Institution,338911,0,37.85367,-122.25707
37.807649,-122.255408,Retail-Res,high,Residential,15745711,0,37.807649,-122.255408
37.87743,-122.25088,Retail-Res,high,Institution,448011,0,37.87743,-122.25088
37.863447,-122.248853,Retail-Res,high,Institution,13825511,0,37.863447,-122.248853
37.72798,-122.246483,FoodPlant,high,Food-Products-Processing-Plant,14318611,0,37.72798,-122.246483
37.79717,-122.22988,Retail-Res,high,Institution,310211,0,37.79717,-122.22988
37.819224,-122.224353,Retail-Res,high,Retail,18133511,0,37.819224,-122.224353
37.76275,-122.22232,AsphaltPlant,high,Hot-Mix-Asphalt-Plant,10510811,0,37.76275,-122.22232
37.76421,-122.21625,Manufacturing,high,Metals,4955911,0,37.76421,-122.21625
37.756914,-122.209381,Eateries,high,Bakeries,771711,0,37.756914,-122.209381
37.76033,-122.2057,Manufacturing,high,Manufacturing,140211,0,37.76033,-122.2057
37.72204,-122.2001,Transportation,high,Port,444911,0,37.72204,-122.2001
37.74786,-122.19333,Foundaries,high,Foundries-Iron-and-Steel,382111,0,37.74786,-122.19333
37.7233,-122.19079,FoodPlant,high,Food-Products-Processing-Plant,512911,0,37.7233,-122.19079
37.71258,-122.19065,WWTP,high,Wastewater-Treatment-Facility,203811,0,37.71258,-122.19065
37.72074,-122.19053,Manufacturing,high,Metals,3963411,0,37.72074,-122.19053
37.744311,-122.190515,Retail-Res,high,Wholesale,18697911,0,37.744311,-122.190515
37.71463,-122.19043,Waste,high,Landfill,10708011,0,37.71463,-122.19043
37.782573,-122.187899,Retail-Res,high,Institution,14122011,0,37.782573,-122.187899
37.7475,-122.187,Manufacturing,high,Manufacturing,14267411,0,37.7475,-122.187
37.76954,-122.18041,Misc,high,Crematory-Human,382911,0,37.76954,-122.18041
37.738494,-122.17944,Manufacturing,high,Manufacturing,13983311,0,37.738494,-122.17944
37.722651,-122.156676,Misc,high,GasStation,18132711,0,37.722651,-122.156676
37.716568,-122.1315,Retail-Res,high,Institution,15721111,1,37.713306,-122.1221633333
37.70775,-122.11869,Retail-Res,high,Institution,450311,1,,
37.7156,-122.1163,Retail-Res,high,Institution,13760911,1,,
37.70687,-122.1765,Retail-Res,high,Wholesale,18135811,2,37.705728,-122.1688405
