,FIRE_YEAR,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE,STATE,FIPS_CODE,FIPS_NAME,DISCOVERY_DATE,DISCOVERY_TIME,CONT_DATE,CONT_TIME,FIRE_SIZE
1067487,2010,Equipment Use,36.76694444,-121.30305555,CA,,,2455335.5,,,,70.0
1067488,2010,Miscellaneous,36.77694444,-121.31111111,CA,,,2455355.5,,,,0.5
1067489,2010,Miscellaneous,36.85611111,-121.38111111,CA,,,2455359.5,,,,0.1
1067490,2010,Miscellaneous,36.81805555,-121.39111111,CA,,,2455361.5,,,,0.1
1067491,2010,Miscellaneous,36.88305555,-121.56194444,CA,,,2455388.5,,,,1.0
1067492,2010,Debris Burning,36.93611111,-121.38805555,CA,,,2455406.5,,,,0.3
1067493,2010,Equipment Use,36.75805555,-121.50305555,CA,,,2455450.5,,,,0.5
1067504,2010,Miscellaneous,36.81805555,-121.39111111,CA,,,2455271.5,,,,0.1
1067505,2010,Miscellaneous,36.88305555,-121.56194444,CA,,,2455317.5,,,,1.0
1067506,2010,Miscellaneous,35.95305555,-120.86694444,CA,,,2455370.5,,,,16.0
1067507,2010,Miscellaneous,36.80694444,-121.71194444,CA,,,2455380.5,,,,1.5
1067508,2010,Equipment Use,36.26194444,-121.17888888,CA,,,2455380.5,,,,0.5
1067509,2010,Miscellaneous,36.89611111,-121.42694444,CA,,,2455422.5,,,,0.1
1067510,2010,Equipment Use,36.82694444,-121.38194444,CA,,,2455439.5,,,,0.3
1067511,2010,Children,36.60888888,-121.93111111,CA,,,2455496.5,,,,1.0
1071086,2010,Debris Burning,36.61194444,-119.53388888,CA,,,2455225.5,,,,1.0
1071087,2010,Equipment Use,36.76111111,-120.38194444,CA,,,2455238.5,,,,1.0
1071088,2010,Miscellaneous,36.48888888,-119.82694444,CA,,,2455259.5,,,,0.1
1071089,2010,Miscellaneous,36.555,-119.795,CA,,,2455275.5,,,,0.1
1071090,2010,Miscellaneous,36.35611111,-120.20888888,CA,,,2455282.5,,,,1.0
1071091,2010,Miscellaneous,36.85111111,-120.56305555,CA,,,2455282.5,,,,1.0
1071092,2010,Debris Burning,36.97194444,-120.60888888,CA,,,2455288.5,,,,0.1
1071093,2010,Miscellaneous,36.70805555,-119.66388888,CA,,,2455302.5,,,,0.1
1071094,2010,Equipment Use,36.82305555,-119.62611111,CA,,,2455332.5,,,,0.3
1071095,2010,Equipment Use,36.13805555,-120.15611111,CA,,,2455332.5,,,,1.0
1071096,2010,Miscellaneous,36.85111111,-120.56305555,CA,,,2455334.5,,,,200.0
1071097,2010,Miscellaneous,36.79,-120.37388888,CA,,,2455335.5,,,,0.3
1071098,2010,Miscellaneous,36.85194444,-119.62611111,CA,,,2455335.5,,,,1.0
1071099,2010,Equipment Use,36.67805555,-119.78611111,CA,,,2455335.5,,,,2.0
1071100,2010,Debris Burning,36.20388888,-120.09888888,CA,,,2455336.5,,,,1.0
1071101,2010,Debris Burning,36.56194444,-119.71694444,CA,,,2455336.5,,,,1.0
1071102,2010,Equipment Use,36.19388888,-120.37305555,CA,,,2455336.5,,,,6.0
1071103,2010,Miscellaneous,36.66305555,-119.755,CA,,,2455337.5,,,,1.0
1071104,2010,Miscellaneous,36.71805555,-119.755,CA,,,2455338.5,,,,1.0
1071105,2010,Equipment Use,36.81305555,-119.625,CA,,,2455373.5,,,,1.0
1071106,2010,Debris Burning,36.705,-119.37611111,CA,,,2455348.5,,,,1.0
1071107,2010,Miscellaneous,36.57611111,-119.64694444,CA,,,2455348.5,,,,4.0
1071108,2010,Miscellaneous,36.56805555,-119.95305555,CA,,,2455349.5,,,,50.0
