OBJECTID,District,Route,County,Postmile,Descriptn,Back_pk_h,Back_pk_m,Back_AADT,Ahead_pk_h,Ahead_pk_m,Ahead_AADT,Lat_S_or_W,Lon_S_or_W,Lat_N_or_E,Lon_N_or_E
2706,4,61,ALA,19.84,"ALAMEDA, BROADWAY/ ENCINAL AVENUE",1200,12600,12300,900,9000,8700,37.760569799,-122.240824869,37.760576391,-122.240707602
2707,4,61,ALA,21.27,"ALAMEDA, CENTRAL AVENUE/ SHERMAN STREET",600,6400,6200,900,9800,9500,37.770909918,-122.26347726,37.770909918,-122.26347726
2708,4,61,ALA,21.967,JCT. RTE. 260 NORTH,1600,17400,17000,0,0,0,37.771459,-122.276894,37.771459,-122.276894
3045,4,77,ALA,0.098,"OAKLAND, JCT. RTE. 880",0,0,0,1700,23400,22900,37.769481976,-122.221232498,37.769397205,-122.221166387
3046,4,77,ALA,0.365,"OAKLAND, EAST 12TH STREET",1700,23400,22900,1200,16800,16400,37.772127698,-122.217492902,37.772068022,-122.217377695
3047,4,77,ALA,0.452,"OAKLAND, EAST 14TH STREET",1200,16800,16400,0,0,0,37.773036512,-122.216259707,37.772963497,-122.216147504
3155,4,80,ALA,R0,SAN FRANCISCO/ALAMEDA COUNTY LINE,0,0,0,18600,290000,278000,37.8192167813,-122.349667397,37.818853827,-122.349602658
3156,4,80,ALA,1.989,SAN FRANCISCO-OAKLAND BAY BRIDGE TOLL PLAZA,18600,290000,278000,18600,290000,278000,37.824831,-122.313878,37.8238428391,-122.313765766
3157,4,80,ALA,2.413,"OAKLAND, WEST GRAND AVENUE",18600,287000,278300,18600,287000,278300,37.8253461724,-122.306068207,37.8248552647,-122.306416622
3158,4,80,ALA,2.509,"OAKLAND, JCT. RTE. 880; WEST GRAND AVE; PORT OF OAKLAND",18600,287000,278300,10600,163000,157500,37.8256473895,-122.304436215,37.825200142,-122.304611578
3159,4,80,ALA,2.802,"OAKLAND, JCT. RTE. 580 EAST",10500,162000,157500,18700,292000,283500,37.8267015928,-122.299433546,37.8264007702,-122.299311023
3160,4,80,ALA,3.786,"EMERYVILLE, POWELL STREET",18700,292000,283500,19100,297000,288800,37.8378107684,-122.296695688,37.8378492429,-122.296410394
3161,4,80,ALA,4.582,"BERKELEY, JCT. RTE. 13 EAST",19100,297000,288800,18500,289000,280400,37.8490071572,-122.2990545,37.8489821967,-122.298856475
1197,4,13,ALA,4.262,"OAKLAND, JCT. RTE. 580",0,0,0,5900,60000,57800,37.783652526,-122.178293551,37.78413761,-122.177589655
1198,4,13,ALA,5.012,CARSON STREET,5900,60000,57800,4900,50400,48300,37.793889183,-122.182005106,37.7940571827,-122.181811455
1199,4,13,ALA,5.393,"OAKLAND, REDWOOD ROAD",4900,50000,48300,6200,63000,60900,37.798592222,-122.185465876,37.798517961,-122.185107864
1200,4,13,ALA,6.469,"OAKLAND, LINCOLN AVENUE",6200,63000,60900,6800,68000,66200,37.8105380077,-122.197732948,37.8106558564,-122.197586
1201,4,13,ALA,7.397,"OAKLAND, PARK BOULEVARD",6800,68000,66200,6900,70000,67200,37.8215984796,-122.207325108,37.8217088343,-122.207175
1202,4,13,ALA,8.3,"OAKLAND, MORAGA AVENUE",6900,70000,67200,8200,84000,80900,37.8323506451,-122.216780036,37.832262,-122.216385
1203,4,13,ALA,9.066,"OAKLAND, BROADWAY TERRACE",8200,84000,80900,8600,87000,84000,37.8416546133,-122.224755205,37.8415974809,-122.224603718
1204,4,13,ALA,R9.621,"OAKLAND, JCT. RTE. 24",8600,87000,84000,2300,23400,22500,37.8487526424,-122.228443873,37.8487196968,-122.228100667
1208,4,13,ALA,12.24,"BERKELEY, ADELINE STREET",2300,22600,21700,2400,24600,23600,37.854661661,-122.269113802,37.854661661,-122.269113802
1209,4,13,ALA,13.178,JCT. RTE. 123,2900,29000,27900,3700,38000,36300,37.8521717797,-122.286619125,37.8521717797,-122.286619125
1210,4,13,ALA,13.738R,BEG INDEP ALIGN RT,0,0,0,1900,18700,17900,0,0,37.8490360275,-122.295954411
1211,4,13,ALA,13.906R,"BERKELEY, JCT. RTE. 80, END OF ROUTE/RIGHT ALIGN",1900,18700,17900,0,0,0,0,0,37.849002525,-122.298874581
1212,4,13,ALA,13.738L,BEGIN LEFT ALIGN,0,0,0,1900,19400,18600,37.84898447,-122.295895777,0,0
1213,4,13,ALA,13.931L,"BERKELEY, JCT. RTE. 80, END OF ROUTE/LEFT ALIGN",1900,19400,18600,0,0,0,37.847166722,-122.298428805,0,0
1609,4,24,ALA,R1.847,"OAKLAND, JCT. RTES. 580 AND 980",0,0,0,11300,156000,152300,37.824353741,-122.268557664,37.824224199,-122.268027639
1610,4,24,ALA,R3.063,"OAKLAND, TELEGRAPH/CLAREMONT AVENUES",11300,156000,152300,10900,149000,146000,37.840916349,-122.262808192,37.840781204,-122.262392252
1611,4,24,ALA,R4.152,"OAKLAND, BROADWAY/PATTON STREET",10900,149000,146000,11300,156000,152300,37.8478733377,-122.244825467,37.8476592962,-122.244551326
1612,4,24,ALA,R5.117,"OAKLAND, JCT. RTE. 13",11300,156000,152300,13100,178000,172200,37.8488814185,-122.228390878,37.8486663877,-122.228203662
1613,4,24,ALA,R5.65,CALDECOTT LANE,13100,178000,172200,13800,187000,181700,37.8532935882,-122.221903471,37.8532601937,-122.22161231
4987,4,123,ALA,0,"OAKLAND, JCT. RTE. 580",0,0,0,2200,27500,26800,37.82796334,-122.282775878,37.827660854,-122.282678758
4988,4,123,ALA,1.12,"OAKLAND, STANDFORD AVENUE",1700,21900,21500,1600,20300,19900,37.8409253587,-122.283153119,37.8409589999,-122.28303609
4989,4,123,ALA,1.906,"BERKELEY, JCT. RTE. 13",1800,22400,21900,1900,23600,23100,37.8521193333,-122.286766667,37.8521415294,-122.286646588
6340,4,260,ALA,R0.64,"BEGIN ROUTE, ATLANTIC AVENUE",0,0,0,3100,32000,31500,37.781329042,-122.276620326,37.781340978,-122.276476867
6341,4,260,ALA,R0.838,BEG INDEP ALIGN RT LNS,1900,32000,31500,0,0,0,37.7839066897,-122.276764,37.7838846746,-122.276498404
6342,4,260,ALA,R0.838R,BEGIN RIGHT ALIGN,0,0,0,1900,32000,31500,0,0,37.7838846746,-122.276498404
6343,4,260,ALA,R1.124R,"ALAMEDA, POSEY TUBE",2100,33000,31500,2100,33000,31500,0,0,37.787427,-122.276669
6344,4,260,ALA,R1.924R,"OAKLAND, JCT. RTE. 880, END RIGHT ALIGN",2100,33000,31500,0,0,0,0,0,37.797001011,-122.271334553
6345,4,260,ALA,R0.838L,BEGIN LEFT ALIGN,0,0,0,1900,32500,31500,37.7839066897,-122.276764,0,0
6346,4,260,ALA,R1.124L,"ALAMEDA, WEBSTER TUBE",1900,32500,31500,1900,32500,31500,37.7871375926,-122.278478926,0,0
6347,4,260,ALA,R1.924L,END LEFT ALIGN,1900,32500,31500,0,0,0,37.797544656,-122.272742932,0,0
6806,4,580,ALA,R37.797,"OAKLAND, KELLER AVENUE",13400,183000,173000,13700,187000,176000,37.771894941,-122.156461373,37.772029275,-122.156316834
6807,4,580,ALA,R38.309,"OAKLAND, EDWARDS AVENUE",13700,187000,176000,14900,203000,191000,37.7762092069,-122.164006879,37.7763211545,-122.163824429
6808,4,580,ALA,R38.915,"OAKLAND, KUHNLE AVENUE",14900,203000,191000,14500,197000,185000,37.7808143333,-122.173382333,37.780991043,-122.173353356
6809,4,580,ALA,R39.24,"OAKLAND, JCT. RTE. 13 NORTH",14500,197000,185000,11800,160000,150000,37.7835786891,-122.1782672,37.78381229,-122.178432255
6810,4,580,ALA,R39.91,"OAKLAND, MAC ARTHUR BOULEVARD",11800,160000,150000,11700,158000,148000,37.7853936216,-122.193128217,37.7855731532,-122.193051088
