,county,eis facility id,agency facility id,tri facility id,company name,site name,facility source type,site latitude,site longitude,address,city,zip code,pollutant code,pollutant type(s),total emissions,emissions uom,data set
4897,Alameda,126811,1130313443,,GRANITE CONSTRUCTION CO,GRANITE CONSTRUCTION CO,,37.67243,-121.81903,1544 STANLEY BOULEVARD,PLEASANTON,94566,NOX,CAP,3.880906,TON,2017NEI_Feb2020
4900,Alameda,126811,1130313443,,GRANITE CONSTRUCTION CO,GRANITE CONSTRUCTION CO,,37.67243,-121.81903,1544 STANLEY BOULEVARD,PLEASANTON,94566,PM10-PRI,CAP,2.339643195,TON,2017NEI_Feb2020
4902,Alameda,126811,1130313443,,GRANITE CONSTRUCTION CO,GRANITE CONSTRUCTION CO,,37.67243,-121.81903,1544 STANLEY BOULEVARD,PLEASANTON,94566,PM25-PRI,CAP,1.8981407280000002,TON,2017NEI_Feb2020
4923,Alameda,126911,1130313446,,PACIFIC BELL,PACIFIC BELL,,37.76685,-122.24972,2100 CENTRAL AVENUE,ALAMEDA,94501,NOX,CAP,0.05465928,TON,2017NEI_Feb2020
4926,Alameda,126911,1130313446,,PACIFIC BELL,PACIFIC BELL,,37.76685,-122.24972,2100 CENTRAL AVENUE,ALAMEDA,94501,PM10-PRI,CAP,0.000749385,TON,2017NEI_Feb2020
4928,Alameda,126911,1130313446,,PACIFIC BELL,PACIFIC BELL,,37.76685,-122.24972,2100 CENTRAL AVENUE,ALAMEDA,94501,PM25-PRI,CAP,0.000731431,TON,2017NEI_Feb2020
4949,Alameda,127011,1130313447,,PACIFIC BELL,PACIFIC BELL,,37.891009999999994,-122.28459,1612 SOLANO AVENUE,ALBANY,94707,NOX,CAP,0.04480654,TON,2017NEI_Feb2020
4952,Alameda,127011,1130313447,,PACIFIC BELL,PACIFIC BELL,,37.891009999999994,-122.28459,1612 SOLANO AVENUE,ALBANY,94707,PM10-PRI,CAP,0.0006143030000000001,TON,2017NEI_Feb2020
4954,Alameda,127011,1130313447,,PACIFIC BELL,PACIFIC BELL,,37.891009999999994,-122.28459,1612 SOLANO AVENUE,ALBANY,94707,PM25-PRI,CAP,0.000599585,TON,2017NEI_Feb2020
4975,Alameda,127111,1130313451,,PACIFIC BELL,PACIFIC BELL,,37.867709999999995,-122.26783999999999,2116 BANCROFT WAY,BERKELEY,94704,NOX,CAP,0.16238260000000002,TON,2017NEI_Feb2020
4978,Alameda,127111,1130313451,,PACIFIC BELL,PACIFIC BELL,,37.867709999999995,-122.26783999999999,2116 BANCROFT WAY,BERKELEY,94704,PM10-PRI,CAP,0.002226284,TON,2017NEI_Feb2020
4980,Alameda,127111,1130313451,,PACIFIC BELL,PACIFIC BELL,,37.867709999999995,-122.26783999999999,2116 BANCROFT WAY,BERKELEY,94704,PM25-PRI,CAP,0.0021729460000000003,TON,2017NEI_Feb2020
5001,Alameda,127311,1130313472,,PACIFIC BELL,PACIFIC BELL,,37.63843,-122.10177,1880 DEPOT COURT,HAYWARD,94545,NOX,CAP,0.08867471,TON,2017NEI_Feb2020
5004,Alameda,127311,1130313472,,PACIFIC BELL,PACIFIC BELL,,37.63843,-122.10177,1880 DEPOT COURT,HAYWARD,94545,PM10-PRI,CAP,0.00121574,TON,2017NEI_Feb2020
5006,Alameda,127311,1130313472,,PACIFIC BELL,PACIFIC BELL,,37.63843,-122.10177,1880 DEPOT COURT,HAYWARD,94545,PM25-PRI,CAP,0.001186613,TON,2017NEI_Feb2020
5027,Alameda,127411,1130313474,,PACIFIC BELL,PACIFIC BELL,,37.67442,-122.08043,1129 B STREET,HAYWARD,94541,NOX,CAP,0.15952070000000002,TON,2017NEI_Feb2020
5030,Alameda,127411,1130313474,,PACIFIC BELL,PACIFIC BELL,,37.67442,-122.08043,1129 B STREET,HAYWARD,94541,PM10-PRI,CAP,0.002187046,TON,2017NEI_Feb2020
5032,Alameda,127411,1130313474,,PACIFIC BELL,PACIFIC BELL,,37.67442,-122.08043,1129 B STREET,HAYWARD,94541,PM25-PRI,CAP,0.002134648,TON,2017NEI_Feb2020
5053,Alameda,127511,1130313494,,PACIFIC BELL,PACIFIC BELL,,37.80603,-122.26946000000001,1587 FRANKLIN STREET,OAKLAND,94612,NOX,CAP,0.61955,TON,2017NEI_Feb2020
5056,Alameda,127511,1130313494,,PACIFIC BELL,PACIFIC BELL,,37.80603,-122.26946000000001,1587 FRANKLIN STREET,OAKLAND,94612,PM10-PRI,CAP,0.008494102,TON,2017NEI_Feb2020
5058,Alameda,127511,1130313494,,PACIFIC BELL,PACIFIC BELL,,37.80603,-122.26946000000001,1587 FRANKLIN STREET,OAKLAND,94612,PM25-PRI,CAP,0.008290598,TON,2017NEI_Feb2020
5079,Alameda,127611,1130313495,,PACIFIC BELL,PACIFIC BELL,,37.78422,-122.22241000000001,2112 FRUITVALE AVE,OAKLAND,94601,NOX,CAP,0.05278258,TON,2017NEI_Feb2020
5082,Alameda,127611,1130313495,,PACIFIC BELL,PACIFIC BELL,,37.78422,-122.22241000000001,2112 FRUITVALE AVE,OAKLAND,94601,PM10-PRI,CAP,0.000723655,TON,2017NEI_Feb2020
5084,Alameda,127611,1130313495,,PACIFIC BELL,PACIFIC BELL,,37.78422,-122.22241000000001,2112 FRUITVALE AVE,OAKLAND,94601,PM25-PRI,CAP,0.0007063169999999999,TON,2017NEI_Feb2020
5105,Alameda,127711,1130313496,,PACIFIC BELL,PACIFIC BELL,,37.83336,-122.26307,479 45TH STREET,OAKLAND,94609,NOX,CAP,0.1161216,TON,2017NEI_Feb2020
5108,Alameda,127711,1130313496,,PACIFIC BELL,PACIFIC BELL,,37.83336,-122.26307,479 45TH STREET,OAKLAND,94609,PM10-PRI,CAP,0.001592041,TON,2017NEI_Feb2020
5110,Alameda,127711,1130313496,,PACIFIC BELL,PACIFIC BELL,,37.83336,-122.26307,479 45TH STREET,OAKLAND,94609,PM25-PRI,CAP,0.001553898,TON,2017NEI_Feb2020
5131,Alameda,127811,1130313497,,PACIFIC BELL,PACIFIC BELL,,37.811859999999996,-122.1984,2810 MOUNTAIN BLVD,OAKLAND,94602,NOX,CAP,0.02510105,TON,2017NEI_Feb2020
5134,Alameda,127811,1130313497,,PACIFIC BELL,PACIFIC BELL,,37.811859999999996,-122.1984,2810 MOUNTAIN BLVD,OAKLAND,94602,PM10-PRI,CAP,0.000344138,TON,2017NEI_Feb2020
5136,Alameda,127811,1130313497,,PACIFIC BELL,PACIFIC BELL,,37.811859999999996,-122.1984,2810 MOUNTAIN BLVD,OAKLAND,94602,PM25-PRI,CAP,0.00033589300000000003,TON,2017NEI_Feb2020
5157,Alameda,128011,1130313507,,PACIFIC BELL,PACIFIC BELL,,37.66303,-121.87122,120 RAY STREET,PLEASANTON,94566,NOX,CAP,0.14638370000000003,TON,2017NEI_Feb2020
5160,Alameda,128011,1130313507,,PACIFIC BELL,PACIFIC BELL,,37.66303,-121.87122,120 RAY STREET,PLEASANTON,94566,PM10-PRI,CAP,0.0020069370000000003,TON,2017NEI_Feb2020
5162,Alameda,128011,1130313507,,PACIFIC BELL,PACIFIC BELL,,37.66303,-121.87122,120 RAY STREET,PLEASANTON,94566,PM25-PRI,CAP,0.001958854,TON,2017NEI_Feb2020
5183,Alameda,128211,1130313537,,PACIFIC BELL,PACIFIC BELL,,37.700140000000005,-122.12997,15125 HESPERIAN BLVD,SAN LEANDRO,94578,NOX,CAP,0.06451202,TON,2017NEI_Feb2020
5186,Alameda,128211,1130313537,,PACIFIC BELL,PACIFIC BELL,,37.700140000000005,-122.12997,15125 HESPERIAN BLVD,SAN LEANDRO,94578,PM10-PRI,CAP,0.000884467,TON,2017NEI_Feb2020
5188,Alameda,128211,1130313537,,PACIFIC BELL,PACIFIC BELL,,37.700140000000005,-122.12997,15125 HESPERIAN BLVD,SAN LEANDRO,94578,PM25-PRI,CAP,0.000863277,TON,2017NEI_Feb2020
5209,Alameda,128311,1130313554,,PACIFIC BELL,PACIFIC BELL,,37.60431,-122.0188,118 E STREET,UNION CITY,94587,NOX,CAP,0.42791450000000003,TON,2017NEI_Feb2020
5212,Alameda,128311,1130313554,,PACIFIC BELL,PACIFIC BELL,,37.60431,-122.0188,118 E STREET,UNION CITY,94587,PM10-PRI,CAP,0.009633747,TON,2017NEI_Feb2020
